Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_UNO_R3,1,Arduino_UNO_R3,
BZ1,[GEC] G09B-5,1,G09B-5,
"C1, C12, C23, C7, C9",0402,5,100nF,
"C10, C11, C8",0402,3,1uF,
"C13, C14, C2",0603,3,1uF,
C15,CP_EIA-6032-28_Kemet-C,1,10uF,
C16,1206,1,10uF,
"C17, C3",0805,2,100nF,
"C18, C19",1206,2,22uF,
C20,1206,1,100nF,
C21,0603,1,10nF,
C22,0402,1,10uF,
"C24, C25",CP_EIA-3528-21_Kemet-B,2,10uF,
C4,0805,1,2.2uF,
"C5, C6",CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,2,10uF,
D1,D_SOD-123,1,1N4148W,
D2,D_SMA,1,SS14,
"D3, D4, D5",0805,3,LED,
D6,0805,1,5VD_LED,
D7,0805,1,5VP_LED,
J1,PinHeader_1x10_P2.54mm_Vertical,1,MPU9250,
J2,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,BATT/XT60,
J3,Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,1,MG-996R,
J4,Molex_SPOX_5267-04A_1x04_P2.50mm_Vertical,1,ESP32,
J5,Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical,1,WaterValve,
J6,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J7,Molex_SPOX_5267-07A_1x07_P2.50mm_Vertical,1,FC,
J8,PinHeader_1x02_P2.54mm_Vertical,1,EN,
J9,PinHeader_1x06_P2.54mm_Vertical,1,HC-05,
L1,INDPM172172X700N,1,22uH,
L2,L_Coilcraft_XAL4030-XXX,1,XAL4030-332MEB,
Q1,SOT-23,1,BC847,
Q2,SOT-23,1,AO3400A,
Q3,SOT-23,1,2N7002,
"R1, R2",0402,2,4.7k,
R10,0603,1,10k,
"R11, R15",0402,2,1k,
R12,0402,1,4.3k,
"R13, R14, R3",0402,3,47k,
"R16, R8",0402,2,100k,
R17,0402,1,820,
"R18, R19, R20",0402,3,560,
R4,0603,1,422kOhm,
R5,0603,1,22.1kOhm,
R6,0402,1,2.2kOhm,
R7,0402,1,100,
R9,0603,1,68.1k,
"U1, U2",SSOP-8_2.95x2.8mm_P0.65mm,2,TXS0102DCT,
U3,SOT-23-6,1,LMR51430XDDCR,
"U4, U5",SOT-23-5,2,74LVC1G17,
"U6, U9",SOT-223-3_TabPin2,2,LM1117MP-5.0,
U7,SOT-23-6,1,TPS563200DDCR,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,SE555D,
