Designator,Mid X,Mid Y,Rotation,Layer
BZ1,82.55,-55.245,180.0,bottom
C1,63.5,-27.305,180.0,bottom
C10,39.37,-47.625,180.0,bottom
C11,58.080589,-52.365589,135.0,top
C12,50.460589,-58.080589,135.0,top
C13,56.515,-34.925,225.0,bottom
C14,57.785,-33.655,225.0,bottom
C15,62.23,-41.275,180.0,bottom
C16,86.6925,-111.16375,90.0,bottom
C17,90.5025,-109.68875,0.0,bottom
C18,99.3925,-110.32375,90.0,bottom
C19,101.9325,-110.32375,90.0,bottom
C2,55.245,-36.195,225.0,bottom
C20,90.17,-72.39,270.0,bottom
C21,92.71,-69.215,270.0,bottom
C22,83.82,-69.215,270.0,bottom
C23,85.385589,-67.605589,45.0,bottom
C24,69.61,-50.14,180.0,bottom
C25,62.625,-55.855,270.0,bottom
C3,59.69,-32.385,225.0,bottom
C4,63.815,-38.1,0.0,bottom
C5,87.605,-34.05,270.0,top
C6,93.32,-27.065,0.0,top
C7,38.735,-67.945,0.0,top
C8,36.83,-44.45,45.0,top
C9,42.545,-67.31,45.0,top
D1,82.55,-52.705,180.0,bottom
D2,100.965,-46.355,270.0,top
D3,40.64,-64.135,0.0,top
D4,84.455,-27.305,270.0,top
D5,96.2175,-109.05375,180.0,bottom
D6,73.42,-59.03,270.0,bottom
D7,99.695,-27.305,270.0,top
J1,33.02,-76.84,0.0,top
J2,49.53,-29.845,180.0,top
J3,107.33,-109.22,90.0,top
J4,106.045,-88.205,270.0,top
J5,106.03,-46.355,270.0,top
J6,99.695,-38.735,270.0,top
J7,106.045,-71.04,270.0,top
J8,40.645,-53.975,270.0,top
J9,33.02,-52.705,180.0,top
L1,74.93,-38.735,270.0,bottom
L2,95.0325,-112.86375,180.0,bottom
Q1,89.2325,-54.93,0.0,top
Q2,104.4725,-53.34,180.0,top
Q3,40.325,-61.2625,90.0,top
R1,42.545,-46.355,90.0,top
R10,89.55,-116.67375,0.0,bottom
R11,88.265,-68.58,0.0,bottom
R12,90.17,-68.58,0.0,bottom
R13,92.71,-60.325,270.0,bottom
R14,35.56,-80.135,90.0,top
R15,40.64,-57.025,270.0,top
R16,40.515,-58.42,180.0,top
R17,82.55,-26.035,0.0,top
R18,93.6775,-109.05375,270.0,bottom
R19,73.42,-55.855,270.0,bottom
R2,42.545,-41.275,90.0,top
R20,102.11,-26.035,180.0,top
R3,43.815,-50.8,90.0,bottom
R4,65.024,-35.56,270.0,bottom
R5,64.135,-33.02,180.0,bottom
R6,92.71,-55.88,180.0,top
R7,99.695,-53.34,0.0,top
R8,101.6,-53.975,270.0,top
R9,92.725,-116.67375,0.0,bottom
U1,40.005,-50.165,90.0,bottom
U2,41.275,-43.815,180.0,bottom
U3,63.5,-29.845,180.0,bottom
U4,84.6675,-65.085,180.0,top
U5,89.6675,-65.085,180.0,top
U6,93.955,-32.78,180.0,top
U7,90.5025,-112.86375,180.0,bottom
U8,89.535,-63.5,180.0,bottom
U9,68.34,-56.49,90.0,bottom
